ID,Customer_Churn
843,0
844,1
845,0
846,1
847,0
848,1
849,1
850,1
851,0
852,1
853,0
854,0
855,0
856,0
857,1
858,1
859,1
860,1
861,1
862,1
863,1
864,1
865,0
866,1
867,0
868,1
869,1
870,0
871,0
872,0
873,1
874,0
875,0
876,0
877,0
878,0
879,0
880,1
881,0
882,1
883,1
884,1
885,0
886,1
887,1
888,1
889,0
890,1
891,0
892,1
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,1
901,1
902,1
903,1
904,1
905,0
906,0
907,1
908,1
909,0
910,1
911,1
912,0
913,1
914,0
915,0
916,1
917,1
918,1
919,1
920,0
921,1
922,1
923,1
924,1
925,1
926,0
927,1
928,1
929,0
930,0
931,0
932,1
933,0
934,1
935,0
936,0
937,1
938,0
939,1
940,0
941,0
942,1
943,0
944,1
945,0
946,1
947,1
948,1
949,1
950,1
951,1
952,0
953,1
954,0
955,0
956,0
957,0
958,0
959,1
960,1
961,1
962,0
963,1
964,0
965,0
966,1
967,1
968,1
969,1
970,0
971,1
972,1
973,0
974,1
975,1
976,1
977,1
978,1
979,0
980,1
981,1
982,0
983,0
984,1
985,0
986,0
987,0
988,1
989,1
990,1
991,0
992,0
993,1
994,0
995,0
996,1
997,0
998,0
999,1
1000,1
1001,1
1002,0
1003,0
1004,0
1005,0
1006,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,0
1013,1
1014,0
1015,1
1016,1
1017,1
1018,0
1019,1
1020,1
1021,0
1022,1
1023,0
1024,1
1025,0
1026,0
1027,1
1028,1
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,1
1036,0
1037,0
1038,0
1039,0
1040,0
1041,1
1042,1
1043,0
1044,1
1045,0
1046,1
1047,0
1048,1
1049,0
1050,0
1051,1
1052,1
1053,1
1054,1
1055,0
1056,0
1057,0
1058,0
1059,1
1060,0
1061,0
1062,1
1063,1
1064,1
1065,0
1066,1
1067,0
1068,0
1069,0
1070,0
1071,0
1072,1
1073,1
1074,0
1075,1
1076,0
1077,1
1078,0
1079,0
1080,1
1081,1
1082,1
1083,0
1084,0
1085,1
1086,1
1087,0
1088,0
1089,0
1090,0
1091,1
1092,0
1093,1
1094,0
1095,1
1096,0
1097,1
1098,1
1099,1
1100,1
1101,1
1102,0
1103,0
1104,1
1105,1
1106,0
1107,0
1108,1
1109,1
1110,0
1111,1
1112,0
1113,1
1114,1
1115,0
1116,1
1117,0
1118,1
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,1
1127,0
1128,1
1129,1
1130,1
1131,1
1132,1
1133,0
1134,1
1135,0
1136,0
1137,1
1138,0
1139,1
1140,1
1141,0
1142,1
1143,0
1144,1
1145,0
1146,1
1147,0
1148,1
1149,1
1150,1
1151,1
1152,0
1153,0
1154,0
1155,1
1156,1
1157,0
1158,1
1159,0
1160,0
1161,1
1162,0
1163,1
1164,1
1165,0
1166,1
1167,1
1168,1
1169,1
1170,0
1171,0
1172,1
1173,1
1174,1
1175,0
1176,0
1177,1
1178,0
1179,0
1180,1
1181,1
1182,1
1183,0
1184,0
1185,1
1186,1
1187,1
1188,1
1189,1
1190,1
1191,0
1192,0
1193,1
1194,1
1195,0
1196,1
1197,1
1198,1
1199,1
1200,1
1201,0
1202,0
1203,1
1204,0
1205,1
1206,1
1207,0
1208,1
1209,0
1210,0
1211,1
1212,1
1213,1
1214,1
1215,0
1216,1
1217,1
1218,0
1219,0
1220,1
1221,0
1222,1
1223,1
1224,0
1225,0
1226,0
1227,0
1228,1
1229,1
1230,1
1231,1
1232,0
1233,0
1234,1
1235,1
1236,0
1237,0
1238,1
1239,0
1240,0
1241,1
1242,0
1243,1
1244,1
1245,0
1246,1
1247,1
1248,0
1249,0
1250,1
